country code,country_long,name of powerplant,capacity in MW,latitude,longitude,primary_fuel,secondary fuel,other_fuel2,other_fuel3,start date,owner of plant,generation_gwh_2021,geolocation_source,estimated_generation_gwh_2021
AUS,Australia,Adelaide Showgrounds,1,-34.9453,138.5882,Solar,,,,,Adelaide Showgrounds,,Australian Renewable Energy Mapping Infrastructure,1.63
AUS,Australia,Albany Wind Farm,21.6,-35.0641,117.7977,Wind,,,,,Verve Energy,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Amcor Gawler,4,-34.5509,138.7659,Oil,,,,,Energy Response,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Angaston,50,-34.5034,139.0246,Oil,,,,,Infratil Energy Australia Pty Ltd,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Anglesea,165,-38.3861,144.1828,Coal,,,,,Alcoa of Australia Ltd,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Angurugu,3.6,-13.8584,136.4209,Oil,,,,,BHP,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Appin (Mine),55.6,-34.2082,150.7722,Gas,,,,,Energy Developments CSM (NSW) Pty Ltd,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Ararat Wind Farm,240,-37.2385,143.0794,Wind,,,,,Renewable Energy Systems Ltd,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Argyle Diamond Mine,32,-16.7162,128.4031,Oil,,,,,Rio Tinto - Argyle Diamond Mines,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Bairnsdale,94,-37.8429,147.5639,Gas,,,,,Alinta DEBO,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Ballarat Base Hospital,3,-37.5596,143.8469,Gas,,,,,Ballarat Base Hospital,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Banimboola,12.85,-36.5344,147.4594,Hydro,,,,,AGL Energy Pty Ltd,,Australian Renewable Energy Mapping Infrastructure,43.38
AUS,Australia,Bankstown Sports Club,2,-33.9197,151.0332,Oil,,,,,Bankstown Sports Club,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Bannerton Solar Farm,88,-34.6899,142.7452,Solar,,,,,Foresight Solar Australia,,Australian Renewable Energy Mapping Infrastructure,181.99
AUS,Australia,Barcaldine (Len Wishaw),37,-23.5525,145.3142,Gas,,,,,Ergon Energy Qld Pty Ltd,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Barcaldine KDB,20,-23.549,145.318,Solar,,,,,,,Wiki-Solar,47.33
AUS,Australia,Barcaldine YD,10.9,-23.5388,145.2732,Solar,,,,,,,Wiki-Solar,25.06
AUS,Australia,Barron Gorge,60,-16.8502,145.6465,Hydro,,,,,Stanwell Corporation Ltd,,Australian Renewable Energy Mapping Infrastructure,147.07
AUS,Australia,Bastyan,79.9,-41.736,145.5321,Hydro,,,,,Hydro-Electric Corporation (Tasmania),,Australian Renewable Energy Mapping Infrastructure,253.11
AUS,Australia,Bayswater,2640,-32.3953,150.9491,Coal,,,,,Macquarie Generation,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Belconnen,1,-35.2142,148.9872,Waste,,,,,EDL LFG ACT Pty Ltd,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Bell Bay (Bell Bay Three),115,-41.1429,146.903,Gas,,,,,Aurora Energy Tamar Valley Pty Ltd,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Bendeela (Shoalhaven Scheme),240,-34.7337,150.4669,Hydro,,,,,Origin Energy,,Australian Renewable Energy Mapping Infrastructure,374.78
AUS,Australia,Berrimah,10,-12.4262,130.9195,Gas,,,,,NT Government,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Berwick,7.2,-38.1197,145.2665,Waste,,,,,Energy Developments LFG (Victoria) Pty Ltd,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Beryl AU,87,-32.353,149.468,Solar,,,,,,,Wiki-Solar,192.94
AUS,Australia,Bidyadanga,1.3,-18.6816,121.7848,Oil,,,,,Energy Developments Ltd,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Blayney Wind Farm,9.9,-33.6219,149.1982,Wind,,,,,Eraring Energy,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Blowering,70,-35.3986,148.2463,Hydro,,,,,Snowy Hydro Ltd,,Australian Renewable Energy Mapping Infrastructure,208.64
AUS,Australia,Blue Lake Milling Power Plant,1,-36.3164,140.7575,Oil,,,,,Vibe Energy Pty Ltd,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Bluff Point (Woolnorth) Wind Farm,65,-40.7207,144.6869,Wind,,,,,Hydro-Electric Corporation (Tasmania),,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Boco Rock,113,-36.5763,149.1267,Wind,,,,,Boco Rock Wind Farm Pty Ltd,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Bodangora Wind Farm,113,-32.4146,149.0998,Wind,,,,,Infigen Energy,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Bogong (Mount Beauty Hydro Scheme),300,-36.8055,147.228,Hydro,,,,,AGL Energy Pty Ltd,,Australian Renewable Energy Mapping Infrastructure,695.17
AUS,Australia,Braemar 1,504,-27.1109,150.9053,Gas,,,,,Alinta Energy,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Braemar 2,519,-27.1128,150.9049,Gas,,,,,Arrow Energy,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Bremer Bay Diesel Backup,1.3,-34.4018,119.3888,Oil,,,,,Verve Energy,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Brewer,8.5,-23.8817,133.8281,Gas,,,,,Central Energy Power,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Brisbane BNE,6,-27.404,153.11,Solar,,,,,,,Wiki-Solar,12.63
AUS,Australia,Broadmeadows,12.2,-37.6878,144.9663,Waste,,,,,Energy Developments LFG (Victoria) Pty Ltd,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Broadwater,38,-29.0118,153.4335,Biomass,,,,,NSW Sugar Milling,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Broken Hill,50,-31.9863,141.4203,Gas,,,,,Essential Energy,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Broken Hill Solar Plant,53,-31.9867,141.3915,Solar,,,,,AGL Energy,,Australian Renewable Energy Mapping Infrastructure,113.92
AUS,Australia,Brooklyn,2.83,-37.818,144.8319,Waste,,,,,Energy Developments LFG (Victoria) Pty Ltd,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Broome,39.6,-17.981,122.2046,Gas,,,,,Energy Developments Ltd,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Brown Mountain,4.95,-36.5951,149.474,Hydro,,,,,Eraring Energy,,Australian Renewable Energy Mapping Infrastructure,10.88
AUS,Australia,Browns Plains,2.2,-27.6721,153.0663,Waste,,,,,Energy Developments LFG (Qld) Pty Ltd,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Bulwer Island,33,-27.4036,153.1363,Gas,,,,,ATCO and Origin Energy,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Bungala I,110,-32.427,137.838,Solar,,,,,,,Wiki-Solar,259.65
AUS,Australia,Bungala II,110,-32.408,137.841,Solar,,,,,,,Wiki-Solar,259.65
AUS,Australia,Burrendong,19,-32.6646,149.108,Hydro,,,,,AGL Energy Pty Ltd,,Australian Renewable Energy Mapping Infrastructure,56.55
AUS,Australia,Burrinjuck Power Station,27,-35.0025,148.5834,Hydro,,,,,Eraring Energy,,Australian Renewable Energy Mapping Infrastructure,82.15
AUS,Australia,Burrup Peninsula (Karratha Gas Plant),240,-20.6286,116.7821,Gas,,,,,Woodside Pty Ltd,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Burrup Peninsula (Pluto Phase 1),160,-20.5937,116.7802,Gas,,,,,Woodside Pty Ltd,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Butlers Gorge,14.4,-42.2669,146.2618,Hydro,,,,,Hydro-Electric Corporation (Tasmania),,Australian Renewable Energy Mapping Infrastructure,51.53
AUS,Australia,CSIRO Energy Centre,1.5,-32.8835,151.7275,Solar,,,,,CSIRO,,Australian Renewable Energy Mapping Infrastructure,3.04
AUS,Australia,Callide A,30,-24.334,150.628,Coal,,,,,CS Energy,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Callide B,700,-24.3449,150.6197,Coal,,,,,CS Energy,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Callide C,840,-24.3449,150.6182,Coal,,,,,CS Energy,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Camballin,1.04,-18.0278,124.1621,Gas,,,,,Energy Developments Ltd,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Canning Vale,4,-32.0739,115.8914,Waste,,,,,Landfill Gas and Power Pty Ltd,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Cannington Mine,40,-21.8601,140.9158,Gas,,,,,BHP Billiton,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Canunda Wind Farm,46,-37.7603,140.4033,Wind,,,,,International Power - GDF Suez Australia,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Cape Bridgewater Wind Farm,58,-38.3577,141.385,Wind,,,,,Pacific Hydro Pty Ltd,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Cape Lambert,105,-20.6488,117.1407,Gas,,,,,Rio Tinto Australia Pty Ltd,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Cape Nelson North Wind Farm,22,-38.3676,141.543,Wind,,,,,Pacific Hydro Pty Ltd,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Cape Nelson South Wind Farm,44,-38.412,141.543,Wind,,,,,Pacific Hydro Pty Ltd,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Cape Preston,450,-21.0767,116.159,Gas,,,,,Citic Pacific Mining,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Cape Sir William Grant Wind Farm,54,-38.3976,141.6209,Wind,,,,,Pacific Hydro Pty Ltd,,Australian Renewable Energy Mapping Infrastructure,
AUS,Australia,Capital Hill Wind Farm,140,-35.166,149.5186,Wind,,,,,Infigen Energy Pty Ltd,,Australian Renewable Energy Mapping Infrastructure,
